Date,Particulars,Buyer/Supplier,Buyer/Supplier Address,Consignee/Party,Consignee/Party Address,Voucher Type,Voucher No.,Voucher Ref. No.,Voucher Ref. Date,GSTIN/UIN,PAN No.,Narration,Value,Gross Total,26-27 MEMBERSHIP FEES,Central Goods and Service Tax,State Goods and Service Tax,Integrated Goods and Service Tax,27-28 MEMBERSHIP FEE,28-29 MEMBERSHIP FEE,ONE TIME ENTRANCE FEES
20-Jul-26,BizPire Consulting LLP,BizPire Consulting LLP,Pune-411052,BizPire Consulting LLP,Pune-411008,Sales,5432,MBK3000032,20-Jul-26,27UOBNR2129Z9,QAKML6934,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000032 MEMBERSHIP -IA-8359,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
02-Jul-26,Genintel Technologies Llp,Genintel Technologies Llp,Pune-411023,Genintel Technologies Llp,Pune-411033,Sales,5475,MBK3000075,02-Jul-26,27BMAJH2479Z9,JPYTB4084,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000075 MEMBERSHIP -IA-12543,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
04-Jul-26,BKM ENGINEERING SERVICES LLP,BKM ENGINEERING SERVICES LLP,Pune-411016,BKM ENGINEERING SERVICES LLP,Pune-411057,Sales,5459,MBK3000059,04-Jul-26,27NKJYS9850Z7,PSXRV7686,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000059 MEMBERSHIP -IA-1711,11800.0,10000,10000,900.0,900.0,0,0,0,0
25-Jul-26,VECTOR INFORMATIK INDIA PRIVATE LIMITED,VECTOR INFORMATIK INDIA PRIVATE LIMITED,Pune-411024,VECTOR INFORMATIK INDIA PRIVATE LIMITED,Pune-411033,Sales,5463,MBK3000063,25-Jul-26,27PLFPS9543Z5,LZBMK2768,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000063 MEMBERSHIP -IA-3045,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
06-Jul-26,Trimiti Industrial Solutions,Trimiti Industrial Solutions,Pune-411024,Trimiti Industrial Solutions,Pune-411020,Sales,5469,MBK3000069,06-Jul-26,27SUOCB3579Z1,RHRML5475,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000069 MEMBERSHIP -IA-11299,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
25-Jul-26,Genintel Technologies Llp,Genintel Technologies Llp,Pune-411034,Genintel Technologies Llp,Pune-411039,Sales,5437,MBK3000037,25-Jul-26,27HCFFE1231Z9,DBBHY9042,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000037 MEMBERSHIP -IA-1106,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
14-Jul-26,Deepa Narayan Sawant,Deepa Narayan Sawant,Pune-411009,Deepa Narayan Sawant,Pune-411056,Sales,5429,MBK3000029,14-Jul-26,27MBJFI7211Z5,TVGCA9837,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000029 MEMBERSHIP -IA-9928,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
13-Jul-26,Magna Automotive India Private Limited,Magna Automotive India Private Limited,Pune-411018,Magna Automotive India Private Limited,Pune-411041,Sales,5401,MBK3000001,13-Jul-26,27RFITB1525Z6,KBXOS4483,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000001 MEMBERSHIP -IA-2824,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
08-Jul-26,Shoonyas Ace LLP,Shoonyas Ace LLP,Pune-411034,Shoonyas Ace LLP,Pune-411027,Sales,5452,MBK3000052,08-Jul-26,27OUECW4945Z8,XDLGG1153,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000052 MEMBERSHIP -IA-2584,14160.0,12000,12000,1080.0,1080.0,0,0,0,0
03-Jul-26,BUSINARY CONSULTANCY SERVICES LLP,BUSINARY CONSULTANCY SERVICES LLP,Pune-411043,BUSINARY CONSULTANCY SERVICES LLP,Pune-411022,Sales,5421,MBK3000021,03-Jul-26,27QRDXN7691Z6,KHDKY3851,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000021 MEMBERSHIP -IA-9279,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
29-Jul-26,BKM ENGINEERING SERVICES LLP,BKM ENGINEERING SERVICES LLP,Pune-411042,BKM ENGINEERING SERVICES LLP,Pune-411030,Sales,5402,MBK3000002,29-Jul-26,27DDTOT8019Z7,JZDMT2796,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000002 MEMBERSHIP -IA-1409,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
17-Jul-26,Deepa Narayan Sawant,Deepa Narayan Sawant,Pune-411043,Deepa Narayan Sawant,Pune-411041,Sales,5423,MBK3000023,17-Jul-26,27QCYGI4262Z3,AGMWB7790,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000023 MEMBERSHIP -IA-1434,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
05-Jul-26,Ri Crystal,Ri Crystal,Pune-411049,Ri Crystal,Pune-411049,Sales,5474,MBK3000074,05-Jul-26,27REUMT8354Z6,WQDBL5961,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000074 MEMBERSHIP -IA-4150,70800.0,60000,60000,5400.0,5400.0,0,0,0,0
20-Jul-26,Nanda Events,Nanda Events,Pune-411028,Nanda Events,Pune-411023,Sales,5420,MBK3000020,20-Jul-26,27SIPNK4114Z5,BLNUR4228,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000020 MEMBERSHIP -IA-4811,11800.0,10000,10000,900.0,900.0,0,0,0,0
23-Jul-26,Genintel Technologies Llp,Genintel Technologies Llp,Pune-411024,Genintel Technologies Llp,Pune-411014,Sales,5460,MBK3000060,23-Jul-26,27LYWCR9920Z6,BHZYV2501,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000060 MEMBERSHIP -IA-12955,5900.0,5000,5000,450.0,450.0,0,0,0,0
04-Jul-26,ADVIK HI TECH PRIVATE LIM ITED,ADVIK HI TECH PRIVATE LIM ITED,Pune-411001,ADVIK HI TECH PRIVATE LIM ITED,Pune-411032,Sales,5471,MBK3000071,04-Jul-26,27TEJSN6802Z2,KTLLC6129,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000071 MEMBERSHIP -IA-15118,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
20-Jul-26,QUALITY CIRCLE FORUM OF INDIA,QUALITY CIRCLE FORUM OF INDIA,Pune-411052,QUALITY CIRCLE FORUM OF INDIA,Pune-411042,Sales,5414,MBK3000014,20-Jul-26,27NROYC3200Z5,DCOHP6617,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000014 MEMBERSHIP -IA-10674,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
22-Jul-26,AURIC TECHNO SERVICES PRIVATE LIMTED,AURIC TECHNO SERVICES PRIVATE LIMTED,Pune-411019,AURIC TECHNO SERVICES PRIVATE LIMTED,Pune-411015,Sales,5451,MBK3000051,22-Jul-26,27TLCQW8269Z3,SXBUH7141,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000051 MEMBERSHIP -IA-7224,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
